_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
67c602989707b5a8a84a4a88,,26.4,81.82,52.8,64.03,33;7;0;0,time,15,-1,1,15,0,4.18,false,false,english,none,normal,false,false,false,,1741030040000
67c602819707b5a8a84a4907,,43.2,83.12,61.6,71.67,54;8;1;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1741030017000
67c601a69707b5a8a84a3a9f,,36.8,83.58,53.6,69.56,46;7;1;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1741029798000
67c601959707b5a8a84a397c,,40.76,88.24,54.35,65.02,51;5;0;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1741029781000
67bffc979707b5a8a807707d,,7.99,84.21,15.19,0,10;1;1;0,time,15,-1,0,15.01,4,0,false,false,english,none,normal,false,false,false,,1740635287000
67bffc869707b5a8a8076fd9,,46.39,91.89,59.19,73.87,58;3;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1740635270000
67bffc749707b5a8a8076f16,,53.59,94.81,61.59,82.77,67;2;0;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1740635252000
67bf3f549707b5a8a8fe750c,,23.18,78.33,47.97,67.09,29;7;0;0,time,15,-1,2,15.01,0,2.58,false,false,english,none,normal,false,false,false,,1740586836000
67bf18199707b5a8a8fbaa3c,,56.75,100,56.75,68.7,71;0;0;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1740576793000
67bf18089707b5a8a8fba940,,47.16,91.67,57.55,78.22,59;2;2;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1740576776000
67bf17f69707b5a8a8fba82e,,41.6,87.14,55.99,63.59,52;6;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1740576758000
67b0dc8e6de0b0fec4680582,,47.18,92.96,56.78,66.86,59;3;0;0,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1739644046000
67b0dc7d6de0b0fec46804cd,,42.39,88.73,56.79,73.88,53;4;1;1,time,15,-1,2,15,0,15.54,false,false,english,none,normal,false,false,false,,1739644029000
67b0d4626de0b0fec467afea,,45.6,89.04,58.4,76.43,57;5;0;0,time,15,-1,1,15,0,2.03,false,false,english,none,normal,false,false,false,,1739641953000
67b0c7176de0b0fec4671d5e,,29.6,89.06,51.19,76.62,37;3;0;1,time,15,-1,1,15,0,0.92,false,false,english,none,normal,false,false,false,,1739638551000
67b0c7046de0b0fec4671c79,,35.17,84.85,52.76,72.73,44;7;0;0,time,15,-1,1,15.01,0,1.88,false,false,english,none,normal,false,false,false,,1739638532000
67b0c6f06de0b0fec4671b8b,,33.59,88.06,53.58,71.84,42;4;1;0,time,15,-1,1,15.01,0,8.58,false,false,english,none,normal,false,false,false,,1739638512000
67b0c6d56de0b0fec4671a4c,,39.19,90.63,51.18,60.37,49;3;0;0,time,15,-1,2,15,0,3.91,false,false,english,none,normal,false,false,false,,1739638485000
67b0c6be6de0b0fec467192d,,43.17,93.85,51.97,75.19,54;2;0;0,time,15,-1,1,15.01,0,3.71,false,false,english,none,normal,false,false,false,,1739638462000
